doc_key,date,title,title_zh,grade,score,needs_review,reason
newspapersg:nysp19460514-1-nysp19460514-1.2.36,1946-05-14,中國民盟雪分部籌委會成立,中国民盟雪兰莪分部筹委会成立,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19460522-1-maltribune19460522-1.2.24,1946-05-22,China Democrat In Penang,中国民主人士抵槟城,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:nysp19460601-1-nysp19460601-1.2.12,1946-06-01,民盟領袖羅隆基又責美協助國軍中立界對東北局勢抱悲觀,民盟领袖罗隆基再责美国协助国军，中立界对东北局势悲观,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:nysp19460604-1-nysp19460604-1.2.37,1946-06-04,民盟星辦事處召開盟員茶話會歡迎莊明理先生報告祖國政情,民盟新加坡办事处召开盟员茶话会，欢迎庄明理先生报告祖国政情,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:morningtribune19460608-1-morningtribune19460608-1.2.119,1946-06-08,S'pore Chinese Cable Truman,新加坡华人致电杜鲁门,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19460625-1-maltribune19460625-1.2.83,1946-06-25,Peace Delegates Beaten Up,和平代表遭殴打,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:morningtribune19460625-1-morningtribune19460625-1.2.3,1946-06-25,Peace Delegates Beaten Up,和平代表遭殴打,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:indiandailymail19460701-1-indiandailymail19460701-1.2.11,1946-07-01,Another Political Army In China?,中国又一支政治力量？,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:nysp19460709-1-nysp19460709-1.2.40,1946-07-09,中國民主同盟新加坡分部前日成立選出臨時執委七人,中国民主同盟新加坡分部前日成立，选出临时执委七人,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:nysp19460709-1-nysp19460709-1.2.60,1946-07-09,各地僑胞紛紛召開反對內戰大會致電民主同盟加緊督促實現全面停戰,各地侨胞纷纷召开反内战大会，致电民主同盟促成全面停战,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19460710-1-maltribune19460710-1.2.58,1946-07-10,Complete Deadlock In China,中国局势完全陷入僵局,核心文献,86,0,民主同盟与民盟核心人物或事件同时出现。
newspapersg:morningtribune19460715-1-morningtribune19460715-1.2.4,1946-07-15,Untitled,无题报道,人物关联,64,0,未直接出现民盟名称，但关联民盟核心人物或李公朴、闻一多等关键事件。
newspapersg:nysp19460719-1-nysp19460719-1.2.65,1946-07-19,李公樸聞一多被剌案政府决嚴令澈查彭宣傳部長答記者問張主任電滇省緝兇手,李公朴、闻一多被刺案：政府决定严令彻查，宣传部长答记者问,人物关联,64,0,未直接出现民盟名称，但关联民盟核心人物或李公朴、闻一多等关键事件。
newspapersg:nysp19460719-1-nysp19460719-1.2.69,1946-07-19,民盟辦事處主任胡愈之給王吉士先生的公開信,民盟办事处主任胡愈之致王吉士先生公开信,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:nysp19460722-1-nysp19460722-1.2.59,1946-07-22,關於李公樸案論爭民盟堅持反對特務暗殺國新社記者訪問胡愈之,关于李公朴案论争：民盟坚持反对特务暗杀，国新社记者访胡愈之,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:sundaytribune19460728-1-sundaytribune19460728-1.2.43,1946-07-28,Kuomintang Blamed For Deadlock,国民党被指造成僵局,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:nysp19460831-1-nysp19460831-1.2.9,1946-08-31,張君勱組黨將告實現,张君劢组党将告实现,人物关联,64,0,未直接出现民盟名称，但关联民盟核心人物或李公朴、闻一多等关键事件。
newspapersg:nysp19461001-1-nysp19461001-1.2.2,1946-10-01,傳政府已下令總攻擊張垣延安亦廣播總動員中共民盟正式拒絕參加國民大會政府接受馬帥建議兩會同時舉行,传政府已下令总攻击张垣，延安亦广播总动员；中共、民盟正式拒绝参加国民大会,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:indiandailymail19461021-1-indiandailymail19461021-1.2.49,1946-10-21,Local Chinese Launch 'Quit China Week' Today,本地华人今日发起“退出中国周”,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19461024-1-maltribune19461024-1.2.9,1946-10-24,"20,000 Sign ""Quit China"" Petition",两万人签署“退出中国”请愿书,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:indiandailymail19461025-1-indiandailymail19461025-1.2.65,1946-10-25,"""QUIT CHINA WEEK"" 20,000 Chinese Have Already Signed Petition To Truman",“退出中国周”：两万名华人已签署致杜鲁门请愿书,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:indiandailymail19461028-1-indiandailymail19461028-1.2.32,1946-10-28,'International' Rally in Singapore urges Americans Quit China,新加坡“国际”集会敦促美军退出中国,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19461029-1-maltribune19461029-1.2.61,1946-10-29,Democrats Have New Formula To End War,民主派提出结束内战的新方案,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:maltribune19461030-1-maltribune19461030-1.2.73,1946-10-30,China: New Hope,中国：新的希望,核心文献,86,0,民主同盟与民盟核心人物或事件同时出现。
newspapersg:maltribune19461031-1-maltribune19461031-1.2.94,1946-10-31,China As-You-Were,中国局势依旧,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:morningtribune19461231-1-morningtribune19461231-1.2.37,1946-12-31,MINORITY PARTIES,少数党派,核心文献,86,0,民主同盟与民盟核心人物或事件同时出现。
newspapersg:maltribune19470210-1-maltribune19470210-1.2.67,1947-02-10,"Meeting Ends In ""Free For All""",会议演变为混乱冲突,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:maltribune19470811-1-maltribune19470811-1.2.111,1947-08-11,A. DENIAL,罗隆基否认提交备忘录,核心文献,86,0,民主同盟与民盟核心人物或事件同时出现。
newspapersg:morningtribune19470811-1-morningtribune19470811-1.2.115,1947-08-11,A. DENIAL,罗隆基否认提交备忘录,核心文献,86,0,民主同盟与民盟核心人物或事件同时出现。
newspapersg:indiandailymail19470815-1-indiandailymail19470815-1.2.27,1947-08-15,"Message From The Director, China Democratic League, Singapore",中国民主同盟新加坡负责人来函,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19470816-1-maltribune19470816-1.2.41,1947-08-16,Chinese Greetings,华人致意,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19470818-1-maltribune19470818-1.2.114,1947-08-18,Peace Necessary,和平是必要的,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:maltribune19470819-1-maltribune19470819-1.2.41,1947-08-19,Chinese seek release of Author in Sumatra,华人要求释放苏门答腊作家,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:morningtribune19470820-1-morningtribune19470820-1.2.45,1947-08-20,Chinese seek release of Author in Sumatra,华人要求释放苏门答腊作家,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:nysp19470916-1-nysp19470916-1.2.119,1947-09-16,斥胡愈之的謬論,驳斥胡愈之的谬论,人物关联,64,0,未直接出现民盟名称，但关联民盟核心人物或李公朴、闻一多等关键事件。
newspapersg:maltribune19470929-1-maltribune19470929-1.2.59,1947-09-29,China Democratic League Plans Pan-Malayan H. Q.,中国民主同盟计划设立泛马来亚总部,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:morningtribune19470929-1-morningtribune19470929-1.2.47,1947-09-29,China Democratic League Plans To Establish Pan-Malayan H.Q.,中国民主同盟计划建立泛马来亚总部,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:morningtribune19470930-1-morningtribune19470930-1.2.53,1947-09-30,"""U.S. Prolonging Civil War In China By Aiding Kuomintang""",“美国援助国民党正在延长中国内战”,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:morningtribune19471003-1-morningtribune19471003-1.2.158,1947-10-03,Blast Against Democratic League Hint Kuomintang May Outlaw It,抨击民盟：国民党或将其取缔,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:morningtribune19471010-1-morningtribune19471010-1.2.220,1947-10-10,Democratic League Indicted,民主同盟遭指控,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:sundaytribune19471026-1-sundaytribune19471026-1.2.52,1947-10-26,The Far East And The Next World War,远东与下一场世界大战,核心文献,86,0,民主同盟与民盟核心人物或事件同时出现。
newspapersg:indiandailymail19471029-1-indiandailymail19471029-1.2.45,1947-10-29,CHINA DEMOCRATIC LEAGUE OUTLAWED,中国民主同盟被取缔,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:indiandailymail19471029-1-indiandailymail19471029-1.2.46,1947-10-29,Untitled,无题报道,核心文献,86,0,民主同盟与民盟核心人物或事件同时出现。
newspapersg:morningtribune19471029-1-morningtribune19471029-1.2.13,1947-10-29,CHINESE GO VERNMENT OUTLAWS DEMOCRATIC LEAGUE,中国政府取缔民主同盟,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:indiandailymail19471030-1-indiandailymail19471030-1.2.34,1947-10-30,China Democratic League Outlawed,中国民主同盟被取缔,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19471030-1-maltribune19471030-1.2.81,1947-10-30,S'hai Police take Over Democratic League I lqrs.,上海警方接管民主同盟总部,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:indiandailymail19471031-1-indiandailymail19471031-1.2.18,1947-10-31,DEMOCRATIC LEAGUE MEMBERS TO LEE?,民主同盟成员将离沪？,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:indiandailymail19471031-1-indiandailymail19471031-1.2.50,1947-10-31,"""It Will Have Profound Effects Abroad""",“将在海外产生深远影响”,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:indiandailymail19471101-1-indiandailymail19471101-1.2.57,1947-11-01,MALAYA BRANCH OF DEMOCRATIC LEAGUE WILL CONTINUE TO FUNCTION,民主同盟马来亚分部将继续活动,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:morningtribune19471101-1-morningtribune19471101-1.2.30,1947-11-01,Police Guard Shanghai Democratic League Hq,警方守卫上海民主同盟总部,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:sundaytribune19471102-1-sundaytribune19471102-1.2.45,1947-11-02,"S'pore Branch Of, C. D. L. To Continue, Despite Nanking Ban",虽遭南京取缔，中国民主同盟新加坡分部仍将继续,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:morningtribune19471104-1-morningtribune19471104-1.2.69,1947-11-04,Sequel To Democratic League Ban,民主同盟被禁的后续,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:morningtribune19471105-1-morningtribune19471105-1.2.37.1,1947-11-05,Dynamiting The Bridge,炸毁桥梁,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:nysp19471105-1-nysp19471105-1.2.10,1947-11-05,平教授請政府收囘民盟非法令張瀾將自動解散民盟所謂自由份子多擬逃往香港,平津教授请政府收回民盟非法令，张澜将自动解散民盟，所谓自由分子多拟逃往香港,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:nysp19471107-1-nysp19471107-1.2.3,1947-11-07,海外民盟如繼續活動政府將另以辦法取締,海外民盟如继续活动，政府将另行办法取缔,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:nysp19471107-1-nysp19471107-1.2.30,1947-11-07,民盟勾結共匪事實（二）,民盟勾结中共事实（二）,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:nysp19471107-1-nysp19471107-1.2.57,1947-11-07,當地政府對民盟不擬採任何動作,当地政府对民盟暂不采取任何动作,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:indiandailymail19471110-1-indiandailymail19471110-1.2.42,1947-11-10,Overseas Democratic League's Decision,海外民主同盟的决定,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:nysp19471110-1-nysp19471110-1.2.12,1947-11-10,前民盟黨員均得自由,前民盟党员均可自由活动,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:nysp19471110-1-nysp19471110-1.2.41,1947-11-10,民盟勾結共匪事實四,民盟勾结中共事实（四）,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:morningtribune19471111-1-morningtribune19471111-1.2.10,1947-11-11,"""RISE AGAINST NANKING DICTATORSHIP"" APPEAL",“起来反对南京独裁”呼吁,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19471118-1-maltribune19471118-1.2.63,1947-11-18,CONCESSION TO BANNED LEAGUE,对被禁民盟的让步,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:morningtribune19480105-1-morningtribune19480105-1.2.110,1948-01-05,China Political Party In Burma,中国政治党派在缅甸活动,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19480217-1-maltribune19480217-1.2.59,1948-02-17,POLITICAL EVOLUTION OF MALAYA HAS BEGUN,马来亚政治演进已经开始,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19480221-1-maltribune19480221-1.2.52,1948-02-21,POLITICAL EVOLUTION OF MALAYA HAS BEGUN,马来亚政治演进已经开始,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19480505-1-maltribune19480505-1.2.36,1948-05-05,Leftist Chinese Reject Chiang's Election,左翼华人反对蒋介石当选,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19480507-1-maltribune19480507-1.2.3,1948-05-07,ANTI-CHIANG WEEK HERE,本地发起反蒋周,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:morningtribune19480514-1-morningtribune19480514-1.2.13,1948-05-14,SPORE REDS LAUNCH ANTI-CHIANG WEEK,新加坡左翼发起反蒋周,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:morningtribune19480526-1-morningtribune19480526-1.2.6,1948-05-26,EX-DAIF ORCE MEN SEEK POLITICAL REFUGE HERE,前军人来此寻求政治庇护,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19480623-1-maltribune19480623-1.2.40,1948-06-23,NO INTERFERENCE IN LOCAL POLITICS,不干预本地政治,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19480703-1-maltribune19480703-1.2.33,1948-07-03,Rights Of Overseas Chinese,海外华人的权利,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:morningtribune19480721-1-morningtribune19480721-1.2.142,1948-07-21,REDS IN BURMA PREPA TO INVADE CHINA,缅甸红色力量据称准备进攻中国,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:morningtribune19480807-1-morningtribune19480807-1.2.10,1948-08-07,CHINA INVASION REPORT DENIED,否认入侵中国报道,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:nysp19490316-1-nysp19490316-1.2.15,1949-03-16,民盟總部自港遷平,民盟总部由香港迁往北平,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:indiandailymail19490510-1-indiandailymail19490510-1.2.51,1949-05-10,Exemption To Foreign Political Bodies In S'pore Withdraw,新加坡撤销外国政治团体登记豁免,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19490510-1-maltribune19490510-1.2.39,1949-05-10,TWO CHINESE PARTIES LOSE STATUS,两个中国政党失去合法地位,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:indiandailymail19490513-1-indiandailymail19490513-1.2.61,1949-05-13,CHINA DEMOCRATIC LEAGUE DECLARED UNLAWFUL,中国民主同盟被宣布为非法团体,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19490513-1-maltribune19490513-1.2.48,1949-05-13,THE MASTER MIND,幕后策划者,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:nysp19490513-1-nysp19490513-1.2.32.5,1949-05-13,聯邦政府宣佈中國民主同盟為非法團體,联邦政府宣布中国民主同盟为非法团体,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:nysp19490518-1-nysp19490518-1.2.28.2,1949-05-18,庇朥警察懷疑民盟召傳搜查無所獲前被拘禁現釋放者尚守法,庇朥警方怀疑民盟活动，传召搜查无所获；前被拘禁后获释者仍守法,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:indiandailymail19490524-1-indiandailymail19490524-1.2.42,1949-05-24,Malayan Administration Carrying'On Anti-Chinese Policy?,马来亚当局在推行反华政策吗？,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19490705-1-maltribune19490705-1.2.6,1949-07-05,RED CHINA SEEKS SHARE IN JAP TREATY,红色中国要求参与对日和约,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:indiandailymail19490706-1-indiandailymail19490706-1.2.49,1949-07-06,COMMUNIST CHINA DEMANDS EARLY WITHDRAWAL OF U.S. FORCES FROM JAPAN,中共方面要求美军尽早撤出日本,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
