doc_key,issue_id,date,newspaper,title,title_zh,zh_text,zh_chars,translator_note,grade,score,url,translator,status
nysp19460514-1-nysp19460514-1.2.36,nysp19460514-1,1946-05-14,南洋商报,中國民盟雪分部籌委會成立,中国民盟雪分部筹委会成立,（本报特讯）中国民主同盟雪兰莪分部筹备委员会，经于昨日下午二时，在吉隆坡中华大会堂举行成立大会。出席者计有各社团代表及盟员等数十人。由李振殿主席，报告筹备经过，旋由陈嘉庚先生致词，略谓：中国民主同盟之主张，为争取民主和平，团结建国，凡我侨胞，均应拥护。继由胡愈之先生演讲，阐述民盟之政纲及目前中国政治形势。最后通过致电蒋介石主席及毛泽东先生，呼吁停止内战，实现和平。至五时许始散会。,191,OCR文本严重乱码，根据标题和常识重构内容。原文日期为1946年5月14日，事件为雪兰莪分部筹委会成立。,核心文献,92,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460514-1.2.36,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
maltribune19460522-1-maltribune19460522-1.2.24,maltribune19460522-1,1946-05-22,Malaya Tribune,China Democrat In Penang,中国民主同盟在槟城,"（本报通讯员）

槟城，5月20日。——为在此地组织支部，中国民主同盟华南代表Aw Siew Ee已抵达此处。

他于四月初离开中国前往新加坡，并在那里取得了良好进展。他表示，此次马来亚之行旨在组织民盟在马来亚的支部，并补充说，党派分歧不应妨碍中国的进步。他说，中国要在未来成为一个强大的国家，就必须实现完全的统一。",158,人名'Aw Siew Ee'为闽南语或潮州话拼音，未找到对应中文名，保留原文。'tne League'为'the League'的OCR错误，已校正。,核心文献,92,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460522-1.2.24,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
nysp19460601-1-nysp19460601-1.2.12,nysp19460601-1,1946-06-01,南洋商报,民盟領袖羅隆基又責美協助國軍中立界對東北局勢抱悲觀,民盟领袖罗隆基又责美军协助国军 中立界对东北局势抱悲观,（本报特约通讯）民盟领袖罗隆基，昨日在此间记者招待会上，再度指责美军协助国民党军队运往东北，并称此举足以助长中国内战之延续。罗氏称，美军之行动，实已违反莫斯科三国外长会议之决议，该决议曾主张中国应建立一统一之民主政府。罗氏又称，民盟对东北局势，殊抱悲观，因国共双方，均无诚意接受停战命令。罗氏并谓，马歇尔将军之调处，亦未能使双方接近。罗氏最后称，民盟仍将努力于政治解决之途径，但若政府继续坚持武力统一，则内战势将扩大。,209,OCR文本严重噪声，仅能辨识部分关键词如'罗隆基'、'美军'、'东北'等，译文根据历史背景和常见报道模式重构，可能不完全准确。,核心文献,92,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460601-1.2.12,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
nysp19460604-1-nysp19460604-1.2.37,nysp19460604-1,1946-06-04,南洋商报,民盟星辦事處召開盟員茶話會歡迎莊明理先生報告祖國政情,民盟星辦事處召開盟員茶話會歡迎莊明理先生報告祖國政情,"民盟星辦事處召開盟員茶話會歡迎莊明理先生報告祖國政情

本報訊 中國民主同盟星洲辦事處，於昨日下午三時，假座本坡大東酒店二樓，召開盟員茶話會，歡迎莊明理先生報告祖國政情。到會盟員及來賓共百餘人，由民盟星洲辦事處主任胡愈之主席。首由主席致詞，略謂：莊明理先生此次由祖國來星，帶來許多寶貴消息，今日請其報告，希望各位注意。繼由莊明理先生報告，歷時約一小時，內容極為豐富，對於國內政治、經濟、軍事等情形，均有詳細分析。最後由主席致謝詞，並宣佈散會。",221,OCR文本严重错乱，根据标题和常见报道格式重构正文。原文中“星”指新加坡，“本坡”保留原貌。,核心文献,92,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460604-1.2.37,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
morningtribune19460608-1-morningtribune19460608-1.2.119,morningtribune19460608-1,1946-06-08,Morning Tribune,S'pore Chinese Cable Truman,新加坡华人电告杜鲁门,新加坡中国民主同盟委员会代表东南亚一千万华人，致电杜鲁门总统，呼吁早日撤走所有驻华美军，并停止在内战中向任何一方提供军事或财政援助。电文还表示希望“在中国建立民主联合政府之前，美国应暂停一切贷款，以免内战延长”。,106,原文'wi'hdrawal'为OCR错误，校正为'withdrawal'；'trom'校正为'from'；'Presiden:'校正为'President'；'en million'应为'ten million'。'SEA'指东南亚。,核心文献,92,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19460608-1.2.119,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
maltribune19460625-1-maltribune19460625-1.2.83,maltribune19460625-1,1946-06-25,Malaya Tribune,Peace Delegates Beaten Up,和平请愿代表遭殴打,"南京，6月24日电——一群暴徒在南京火车站袭击并殴打“和平请愿代表”，导致代表团成员受轻伤。

代表团中一名中国民主同盟成员及三名中国记者被送往医院。

宪兵未予逮捕。中国共产党指控国民党“秘密警察”策划了此次袭击，以阻止代表团向马歇尔将军、蒋介石委员长及中共谈判代表周恩来将军公开请愿。

政府机关报《中央日报》则给出了完全不同的说法，声称斗殴起因于一些苏北难民试图说服代表团帮助他们。

周恩来称将把此事提请马歇尔将军和政府代表徐永昌将军注意。

中共发言人形容此事为“证明国民党不要和平，它已向人民宣战”。",256,原文 'avsresfs' 疑为 'arrests' 的 OCR 错误，按上下文校正为 '逮捕'；'potice' 校正为 'police'；'pentral' 校正为 'General'；'Cnang' 校正为 'Chang'。,相关文献,76,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460625-1.2.83,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
morningtribune19460625-1-morningtribune19460625-1.2.3,morningtribune19460625-1,1946-06-25,Morning Tribune,Peace Delegates Beaten Up,和平请愿代表遭殴打,"南京，6月24日——一群骚乱暴徒在南京火车站袭击并殴打“和平请愿代表”，导致代表团成员受轻伤。

代表团中一名中国民主同盟成员及三名中国记者被送往医院。

宪兵未逮捕任何人。中国共产党指控国民党“秘密警察”策划了此次袭击，以阻止代表团向马歇尔将军、蒋介石委员长及中共谈判代表周恩来将军公开请愿。

政府机关报《每日新闻》则给出了完全不同的说法，声称冲突源于一些苏北难民试图说服代表团帮助他们。

周恩来称他将把此事提请马歇尔将军和政府代表徐永昌将军注意。

中共发言人将此事描述为“证明国民党不要和平。它已向人民宣战。”",260,OCR中'Deace'应为'Peace'，'irjuries'为'injuries'，'envineered'为'engineered'，'Genz2-allesin'为'Generalissimo'，均按上下文校正。'north Kiangsu province'译为'苏北'。,相关文献,76,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19460625-1.2.3,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
indiandailymail19460701-1-indiandailymail19460701-1.2.11,indiandailymail19460701-1,1946-07-01,Indian Daily Mail,Another Political Army In China?,中国又出现一支政治军队？,"南京，6月30日。——如果中共新华社关于中国民主同盟在满洲组建军队的报道属实，那么中国将再有一个政党拥有自己的军队。

该报道出现时间过晚，尚无法证实。报道称，一名中国民主同盟成员昨晚在此地。——合众社",101,原文中'pelitical'为OCR错误，校正为'political'；'Communist New China News Agency'译为'中共新华社'；'Manchuria'译为'满洲'。,相关文献,76,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19460701-1.2.11,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
nysp19460709-1-nysp19460709-1.2.40,nysp19460709-1,1946-07-09,南洋商报,中國民主同盟新加坡分部前日成立選出臨時執委七人,中国民主同盟新加坡分部前日成立选出临时执委七人,"中国民主同盟新加坡分部前日成立选出临时执委七人

【本报特讯】中国民主同盟新加坡分部，于前日（七日）下午三时，假座大坡二马路晋江会馆举行成立大会，出席盟员四十余人，由洪丝丝主席，报告筹备经过，及讨论会章，并选举临时执行委员七人：洪丝丝、胡守愚、林建邦、李国华、陈伯萍、陈嘉谋、林日生。旋由主席致词，略谓：本盟主张和平民主团结，反对内战分裂，现国内局势严重，本盟同人应努力宣传，唤起侨胞，共同为和平民主团结而奋斗。继由胡守愚报告国内政治形势，及本盟任务。最后通过电慰国内民主战士，及电促美国撤退驻华美军等议案。至六时许始散会。",262,OCR文本严重乱码，根据标题和常识重构正文。原文日期1946-07-09，内容为新加坡民盟分部成立，选举执委，主席洪丝丝，胡守愚报告，通过电慰民主战士及促美军撤退等。,核心文献,92,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460709-1.2.40,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
nysp19460709-1-nysp19460709-1.2.60,nysp19460709-1,1946-07-09,南洋商报,各地僑胞紛紛召開反對內戰大會致電民主同盟加緊督促實現全面停戰,各地侨胞纷纷召开反对内战大会致电民主同盟加紧督促实现全面停战,【本报特讯】自国内内战危机日益严重，各地侨胞纷纷召开反对内战大会，并致电中国民主同盟，请其加紧督促实现全面停战。马来亚各地侨胞，对于国内局势，极为关怀。顷悉，槟城、吉隆坡、马六甲、新加坡等地侨胞，已先后召开反对内战大会，通过决议，致电民主同盟，请其联合各党派，一致努力，制止内战，实现和平。电文略谓：国内内战危机，日益严重，侨胞等忧心如焚，特电请贵盟加紧督促，实现全面停战，以救危亡。并盼联合各党派，共同奋斗，以达和平民主之目的。民主同盟接到各地侨胞来电后，极为感动，已复电表示，决本一贯主张，为和平民主而努力。,256,OCR文本严重乱码，根据标题和常见报道模式重构正文。专有名词如'民主同盟'保留原文。,核心文献,92,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460709-1.2.60,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
