identifier,title,date,matched_keywords,is_meng,decision,meng_mentions,people,summary_zh,review_method,evidence_snippet,ia_detail_url
cia-readingroom-document-cia-rdp78-01617a002000110001-6,CIA Reading Room cia-rdp78-01617a002000110001-6: WEEKLY REPORT #11,1948-07-30,Coalition Government China 1946,False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"ssion of his resigna- tion to King Paul was the result of intra-party differences rather than of Sophoulis’ disillusionment over the record of the US-supported Liberal-Populist coalition government. Un- doubtedly, Sophoulis was confident that the King would not accept his resignation and made the gesture as an object lesson to his own party deputies. The immediate cause o",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002000110001-6
cia-readingroom-document-cia-rdp78-01617a002000150001-2,CIA Reading Room cia-rdp78-01617a002000150001-2: WEEKLY SUMMARY #15,1948-08-27,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"2 : CIA-RDP78-01617A002000150001-2 Declassified and Approved For Release 2013/05/22 : CIA-RDP78-01617A002000150001-2 SECRET strong Giscounted. Ih event of a civil war, a third force, composed of those resistance groups within the country that oppose any type of Communist dictatorship, would probably atcempt to wrest control of the government from both Comm || pite over -population, inexperienced leadership, and the imposition of reforms by occupation fortes -~ all of which milliate against a sta",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002000150001-2
cia-readingroom-document-cia-rdp78-01617a002000190001-8,CIA Reading Room cia-rdp78-01617a002000190001-8: WEEKLY REPORT #19,1948-09-24,Coalition Government China 1946,False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"ting widespread approval for the new defense measures may be diminished. SWEDEN Sweden’s first general elections since the war may eventually lead to the formation of a coalition government. In the lower house, the Social Democrats, with 112 votes, still have a working majority over the combined non-Communist opposition with 109. Technically, the Communists hold",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002000190001-8
cia-readingroom-document-cia-rdp82-00457r002200160004-0,CIA Reading Room cia-rdp82-00457r002200160004-0: POLITICAL INFORMATION: COMMENTS OF TU YUEH-SHENG CONCERNING THE POLITICAL SITUATION IN CHINA,1948-11-14,Coalition Government China 1946,False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"g is as much of en international communist as LI Li-san and would betray China for the USSR. b. Any talk of a split between “IAO Tse=tung and LT Li-san is superficial. Ce A coalition government in China is impossible until CHIANG Kai-shek steps asice, and this he will not do. d. The Communists will not live up to any arreement they might make in a coalition, They wi",https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r002200160004-0
cia-readingroom-document-cia-rdp78-01617a006000030010-8,CIA Reading Room cia-rdp78-01617a006000030010-8: (UNTITLED),1948-12-20,Coalition Government China 1946,False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a006000030010-8
cia-readingroom-document-cia-rdp78-01617a002100110001-5,CIA Reading Room cia-rdp78-01617a002100110001-5: WEEKLY SUMMARY NUMBER 32,1948-12-29,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"t Prospects The Queuille Government has a fair chance to survive the current parliamentary de- bate over the 1949 budget. After much political maneuvering in the Assembly, the Third Force groups (Socialists, Popular Republicans and Radical Socialists) have composed their dif- ferences. The Assembly -approved bill is now before the Council, which will probably ap || e of major military activity has shifted from the Heuchou-Nanking area to North China (see page 16 and map). In the political realm,",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002100110001-5
cia-readingroom-document-cia-rdp78-01617a002100140001-2,CIA Reading Room cia-rdp78-01617a002100140001-2: WEEKLY SUMMARY NUMBER 35,1949-01-28,"""third force"" China; Coalition Government China 1946",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"rganizations will be reluctant to join a western counterpart to the WFTU. ¥RANCE Government Prestige The Queuille Government is now restoring the prestige of the moderate Third Force to at least the level attained by the first Schuman Governinent in the summer of 1948, Matertally aided by US release of ECA counterpart funds, the Government has taken the ini",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002100140001-2
cia-readingroom-document-cia-rdp78-01617a002100160001-0,CIA Reading Room cia-rdp78-01617a002100160001-0: WEEKLY SUMMARY NUMBER 37,1949-02-11,"""third force"" China",False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002100160001-0
cia-readingroom-document-cia-rdp78-01617a002100190001-7,CIA Reading Room cia-rdp78-01617a002100190001-7: WEEKLY SUMMARY NUMBER 40,1949-03-04,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"forces, by a UN governor, or by the Italians. FRANCE Inflation Ends The inflationary trend in France appears to be drawing toa close. If prices continue to decline and the Third Force Government can follow through with economic measures already initiated, France has an excellent chance of attaining by spring a degree of economic and financial stability that",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002100190001-7
cia-readingroom-document-cia-rdp78-01617a002100210001-4,CIA Reading Room cia-rdp78-01617a002100210001-4: WEEKLY SUMMARY NUMBER 42,1949-03-18,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,2100210001-4 SECRET WESTERN EUROPE FRANCE Cantonal Elections The French cantonal elections of 20 and 27 March will probably show increased public support for all the Third Force parties and reaffirm the strength and prestige of the present coalition government. The electoral system will give the Third Force parties a decided advantage over the Communis || e French cantonal elections of 20 and 27 March will probably show increased public support for all the Third Force parties and reaffirm the st,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002100210001-4
cia-readingroom-document-05949541,CIA Reading Room 05949541: WEEKLY SUMMARY NUMBER 42,1949-03-18,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,/06 C05949541 SECRET WESTERN EUROPE FRANCE Cantonal Elections The French cantoml elections of 20 and 27 March will probably show increased public support for all the Third Force parties and reaffirm the strength and prestige of the present coalition government. The electoral system will give the Third Force parties a decided advantage over the Communis || he French cantoml elections of 20 and 27 March will probably show increased public support for all the Third Force parties and reaffirm the st,https://archive.org/details/cia-readingroom-document-05949541
cia-readingroom-document-cia-rdp79-01090a000400020010-5,CIA Reading Room cia-rdp79-01090a000400020010-5: WESTERN EUROPE DIVISION OFFICE OF REPORTS AND ESTIMATES WORKING PAPER DIVISION WEEKLY,1949-12-06,"""minor parties"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"probably will tend . toward instability after ratification of tha Dutch- Indonesian agreement this month. The withdrawal from the Cabinet of the two ministers representing the minor parties, _ Which were inoluded primarily to assure the necessary two~ thirds approval of the agreement, would not be of great . importance and would, in sae respects, facilitate Cabine",https://archive.org/details/cia-readingroom-document-cia-rdp79-01090a000400020010-5
